name,price,discount,star,link
جاکلیدی طرح داستان اسباب بازی کد xj501,"۱۰,۶۳۰",-,۴.۷,https://www.digikala.com/product/dkp-2970846/%D8%AC%D8%A7%DA%A9%D9%84%DB%8C%D8%AF%DB%8C-%D8%B7%D8%B1%D8%AD-%D8%AF%D8%A7%D8%B3%D8%AA%D8%A7%D9%86-%D8%A7%D8%B3%D8%A8%D8%A7%D8%A8-%D8%A8%D8%A7%D8%B2%DB%8C-%DA%A9%D8%AF-xj501/
استیکر لپ تاپ طرح داستان اسباب بازی کد 3633,"۱۰,۹۰۰",۵۲٪,-,https://www.digikala.com/product/dkp-6384341/%D8%A7%D8%B3%D8%AA%DB%8C%DA%A9%D8%B1-%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D8%B7%D8%B1%D8%AD-%D8%AF%D8%A7%D8%B3%D8%AA%D8%A7%D9%86-%D8%A7%D8%B3%D8%A8%D8%A7%D8%A8-%D8%A8%D8%A7%D8%B2%DB%8C-%DA%A9%D8%AF-3633/
پیکسل خندالو طرح داستان اسباب بازی کد 1604,"۱۰,۹۰۰",۱۶٪,۴.۶,https://www.digikala.com/product/dkp-3025152/%D9%BE%DB%8C%DA%A9%D8%B3%D9%84-%D8%AE%D9%86%D8%AF%D8%A7%D9%84%D9%88-%D8%B7%D8%B1%D8%AD-%D8%AF%D8%A7%D8%B3%D8%AA%D8%A7%D9%86-%D8%A7%D8%B3%D8%A8%D8%A7%D8%A8-%D8%A8%D8%A7%D8%B2%DB%8C-%DA%A9%D8%AF-1604/
پیکسل خندالو طرح داستان اسباب بازی کد 1601,"۱۰,۹۰۰",۱۶٪,۵,https://www.digikala.com/product/dkp-3025143/%D9%BE%DB%8C%DA%A9%D8%B3%D9%84-%D8%AE%D9%86%D8%AF%D8%A7%D9%84%D9%88-%D8%B7%D8%B1%D8%AD-%D8%AF%D8%A7%D8%B3%D8%AA%D8%A7%D9%86-%D8%A7%D8%B3%D8%A8%D8%A7%D8%A8-%D8%A8%D8%A7%D8%B2%DB%8C-%DA%A9%D8%AF-1601/
استیکر لپ تاپ طرح داستان اسباب بازی کد 3632,"۱۰,۹۰۰",۵۲٪,-,https://www.digikala.com/product/dkp-6384355/%D8%A7%D8%B3%D8%AA%DB%8C%DA%A9%D8%B1-%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D8%B7%D8%B1%D8%AD-%D8%AF%D8%A7%D8%B3%D8%AA%D8%A7%D9%86-%D8%A7%D8%B3%D8%A8%D8%A7%D8%A8-%D8%A8%D8%A7%D8%B2%DB%8C-%DA%A9%D8%AF-3632/
پیکسل خندالو طرح داستان اسباب بازی ها کد 3920,"۱۰,۹۰۰",۱۶٪,۴,https://www.digikala.com/product/dkp-5694591/%D9%BE%DB%8C%DA%A9%D8%B3%D9%84-%D8%AE%D9%86%D8%AF%D8%A7%D9%84%D9%88-%D8%B7%D8%B1%D8%AD-%D8%AF%D8%A7%D8%B3%D8%AA%D8%A7%D9%86-%D8%A7%D8%B3%D8%A8%D8%A7%D8%A8-%D8%A8%D8%A7%D8%B2%DB%8C-%D9%87%D8%A7-%DA%A9%D8%AF-3920/
پیکسل خندالو طرح داستان اسباب بازی کد 1608,"۱۰,۹۰۰",۱۶٪,۴,https://www.digikala.com/product/dkp-3025168/%D9%BE%DB%8C%DA%A9%D8%B3%D9%84-%D8%AE%D9%86%D8%AF%D8%A7%D9%84%D9%88-%D8%B7%D8%B1%D8%AD-%D8%AF%D8%A7%D8%B3%D8%AA%D8%A7%D9%86-%D8%A7%D8%B3%D8%A8%D8%A7%D8%A8-%D8%A8%D8%A7%D8%B2%DB%8C-%DA%A9%D8%AF-1608/
استیکر لپ تاپ طرح داستان اسباب بازی کد 3774,"۱۰,۹۰۰",۵۲٪,-,https://www.digikala.com/product/dkp-6367435/%D8%A7%D8%B3%D8%AA%DB%8C%DA%A9%D8%B1-%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D8%B7%D8%B1%D8%AD-%D8%AF%D8%A7%D8%B3%D8%AA%D8%A7%D9%86-%D8%A7%D8%B3%D8%A8%D8%A7%D8%A8-%D8%A8%D8%A7%D8%B2%DB%8C-%DA%A9%D8%AF-3774/
پیکسل پرمانه طرح اسباب بازی ها کد pm.1091,"۱۰,۹۰۰",۱۶٪,۵,https://www.digikala.com/product/dkp-3977710/%D9%BE%DB%8C%DA%A9%D8%B3%D9%84-%D9%BE%D8%B1%D9%85%D8%A7%D9%86%D9%87-%D8%B7%D8%B1%D8%AD-%D8%A7%D8%B3%D8%A8%D8%A7%D8%A8-%D8%A8%D8%A7%D8%B2%DB%8C-%D9%87%D8%A7-%DA%A9%D8%AF-pm1091/
پیکسل خندالو طرح داستان اسباب بازی کد 1602,"۱۰,۹۰۰",۱۶٪,-,https://www.digikala.com/product/dkp-3025147/%D9%BE%DB%8C%DA%A9%D8%B3%D9%84-%D8%AE%D9%86%D8%AF%D8%A7%D9%84%D9%88-%D8%B7%D8%B1%D8%AD-%D8%AF%D8%A7%D8%B3%D8%AA%D8%A7%D9%86-%D8%A7%D8%B3%D8%A8%D8%A7%D8%A8-%D8%A8%D8%A7%D8%B2%DB%8C-%DA%A9%D8%AF-1602/
